Electron Temperature (eV);738 Model LR;738 Exp LR;763 Model LR;763 Exp LR;772 Model LR;772 Exp LR;794 Model LR;794 Exp LR
3.5;84.319;0.39399999999999996;2.315;0.958;5.541;0.475;30.513;0.493
8.0;43.443000000000005;0.39399999999999996;1.177;0.958;2.6039999999999996;0.475;14.513;0.493
3.5;84.319;0.39399999999999996;2.315;0.958;5.541;0.475;30.513;0.493
8.0;43.443000000000005;0.39399999999999996;1.177;0.958;2.6039999999999996;0.475;14.513;0.493
3.5;84.319;0.39399999999999996;2.315;0.958;5.541;0.475;30.513;0.493
8.0;43.443000000000005;0.39399999999999996;1.177;0.958;2.6039999999999996;0.475;14.513;0.493
3.5;84.319;0.39399999999999996;2.315;0.958;5.541;0.475;30.513;0.493
8.0;43.443000000000005;0.39399999999999996;1.177;0.958;2.6039999999999996;0.475;14.513;0.493
3.5;84.319;0.39399999999999996;2.315;0.958;5.541;0.475;30.513;0.493
8.0;43.443000000000005;0.39399999999999996;1.177;0.958;2.6039999999999996;0.475;14.513;0.493
3.5;84.319;0.39399999999999996;2.315;0.958;5.541;0.475;30.513;0.493
8.0;43.443000000000005;0.39399999999999996;1.177;0.958;2.6039999999999996;0.475;14.513;0.493
3.5;9.742;0.39399999999999996;2.312;0.958;1.4280000000000002;0.475;0.57;0.493
8.0;5.019;0.39399999999999996;1.175;0.958;0.6709999999999999;0.475;0.271;0.493
3.5;0.843;0.39399999999999996;2.119;0.958;0.12300000000000001;0.475;0.618;0.493
8.0;0.434;0.39399999999999996;1.077;0.958;0.057999999999999996;0.475;0.294;0.493
3.5;0.843;0.39399999999999996;2.119;0.958;0.12300000000000001;0.475;0.618;0.493
8.0;0.434;0.39399999999999996;1.077;0.958;0.057999999999999996;0.475;0.294;0.493
