Wavelength;Aij;gi;gj;nj
#nm ; 1/s ; unitless ; unitless
#
# i=2p1
750.39;0.472E8;1;3;1.2E10
667.73;2.360E5;1;3;1.2E10
#
# i=2p2
826.45;1.520E7;3;3;1.2E10
772.42;1.170E7;3;1;6.00E9
727.29;1.83E6;3;3;1.2E10
696.54;6.39E6;3;5;3.90E10
#
# i=2p3
840.82;2.230E7;5;3;1.2E10
738.40;8.47E6;5.0;3.0;1.2E10
706.72;3.8E6;5;5;3.90E10
# i=2p4
852.14;1.39E7;3;3;1.2E10
794.82;18.6E6;3;1;6.00E9
747.12;2.62E4;3;3;1.2E10
714.70;0.63E6;3;5;3.90E10
#i=2p5
857.81;1E3;1;3;1.2E10
751.47;4.020E7;1;3;1.2E10
#2p6
922.45;5.02E6;5;3;1.2E10
800.62;4.90E6;5;3;1.2E10
763.51;2.45E7;5;5;3.9E10
#2p7
935.42;1.06E6;3;3;1.2E10
866.79;2.43E6;3;1;6.00E9
810.37;3.31E7;3;3;1.2E10
772.38;5.18E6;3;5;3.9e10
