;Wavelength (nm);g_i;g_j;A;n_j;k_o;k_ij
0;750.39;1;3;47200000.0;23200000000.0;7.31e-11;0.06928
1;667.73;1;3;236000.0;23200000000.0;2.58e-13;0.00024
2;826.45;3;3;15200000.0;23200000000.0;9.44e-11;0.08941
3;772.42;3;1;11700000.0;9580000000.0;1.78e-10;0.06961
4;727.29;3;3;1830000.0;23200000000.0;7.75e-12;0.00734
5;696.54;3;5;6390000.0;62300000000.0;1.43e-11;0.03626
6;840.82;5;3;22300000.0;23200000000.0;2.43e-10;0.23024
7;738.4;5;3;8470000.0;23200000000.0;6.25e-11;0.05923
8;706.72;5;5;3800000.0;62300000000.0;1.48e-11;0.03754
9;852.14;3;3;13900000.0;23200000000.0;9.46e-11;0.08963
10;794.82;3;1;18600000.0;9580000000.0;3.08e-10;0.12057
11;747.12;3;3;26200.0;23200000000.0;1.2e-13;0.00011
12;714.7;3;5;630000.0;62300000000.0;1.52e-12;0.00386
13;857.81;1;3;1000.0;23200000000.0;2.32e-15;0.0
14;751.47;1;3;40200000.0;23200000000.0;6.26e-11;0.05926
15;922.45;5;3;5020000.0;23200000000.0;7.23e-11;0.06844
16;800.62;5;3;4900000.0;23200000000.0;4.61e-11;0.04368
17;763.51;5;5;24500000.0;62300000000.0;1.2e-10;0.30516
18;935.42;3;3;1060000.0;23200000000.0;9.55e-12;0.00904
19;866.79;3;1;2430000.0;9580000000.0;5.22e-11;0.02043
20;810.37;3;3;33100000.0;23200000000.0;1.94e-10;0.18357
21;772.38;3;5;5180000.0;62300000000.0;1.58e-11;0.04008
